id,acc_number,date_time,amount,merchant,authorization
1,372301711401473,2019-07-30T02:15:45Z,$1650.51,8f39c360-d26c-4f23-8c80-cd329bfea4cc,614158587-6
2,3579830377069336,2019-08-06T16:38:25Z,$1419.24,2381ba2b-3233-4547-b344-1dec9861f3f1,994398708-1
3,6706471984185741,2019-07-10T01:39:48Z,$988.21,9aac24e0-5516-4c05-ae32-5c184154e3c1,026713411-8
4,5641826085011741963,2019-08-07T18:07:53Z,$3680.01,4f51b05a-88f7-4139-8937-bf5504ffa463,450902690-0
5,6759651913009712002,2019-07-11T22:22:45Z,$3829.72,2152d8e0-6070-42fc-9789-b6b1e5cac9ec,715497770-1
6,5478464543012181,2019-07-29T18:09:18Z,$3932.92,f4a9faa6-548d-43f6-9fec-10714920bc7d,692922013-2
7,503834588599442547,2019-08-02T12:14:24Z,$2775.23,c90ed925-1460-47a1-8e15-48f86455e706,665069235-2
8,3581370162566010,2019-07-15T23:34:29Z,$1959.22,9909b0e6-5b2f-41f3-b608-a358878131aa,959462330-6
9,4905921910183507534,2019-08-02T08:07:52Z,$4036.93,dbb26b39-d62d-4051-8d0a-b078d289a842,672390490-7
10,6771774300590928,2019-07-17T15:44:47Z,$4036.04,8aac7477-efc7-4f15-a2ab-11f7ad95d7bf,718846788-9
11,6331109524790646238,2019-07-16T14:35:55Z,$1840.52,74067fbe-531b-4804-a675-56455299e2a9,003164073-7
12,5602213290242197,2019-08-05T21:13:43Z,$3016.45,d393b1e1-9d53-45a1-81c1-814e7b90ae5c,778241316-8
13,3550196129016006,2019-07-10T04:43:34Z,$2846.35,f141613e-6120-4d89-bb42-95a669b30e9f,272564331-7
14,5610254083349740,2019-08-07T10:31:08Z,$3724.72,81c2a593-5cd5-4452-8f2c-5b6c9bfb024e,882740165-2
15,3581175545658628,2019-08-03T11:23:07Z,$1085.47,8d702b81-99c0-48bd-8324-426468c03905,106070808-6
16,3536392816700742,2019-07-09T11:49:24Z,$3699.65,acf57f8f-b68a-4a23-80c2-27be761d29c0,635537132-X
17,633110475834657552,2019-07-16T09:05:42Z,$4206.50,99117817-85d8-4988-a7f9-09a910f24520,565489273-8
18,3535088210353291,2019-07-11T09:20:49Z,$2342.92,db0062fe-7bef-4579-8d90-f28bc3dd2d2f,077955842-1
19,3559805061661642,2019-08-01T01:15:51Z,$3559.72,8e6152a4-60d9-41a0-a941-7f717f83c470,724975772-5
20,3586729113102263,2019-07-24T16:37:11Z,$1340.61,e7bbdd3b-737b-42b5-97e1-f09fcc7c41bc,378554904-0
21,4913883229609240,2019-07-10T15:25:09Z,$1620.96,ee75b5f5-bd8e-4f8d-9b9a-f5ee1946cbd4,447611875-5
22,5020653662638247,2019-08-04T13:10:58Z,$2898.72,8fc05b26-ab15-42a2-b656-64d77f17e345,657627921-3
23,6304665862813680,2019-08-03T20:14:25Z,$4906.03,c6060eed-294e-4d83-ad5b-cd348b799c48,509956344-9
24,5602253286481235,2019-07-27T08:51:48Z,$1220.18,c1ec5784-d031-4ae9-8496-3fe511a7f2bb,938055223-8
25,6378334136992777,2019-07-17T18:27:16Z,$4775.21,e12bc936-59e6-43b9-bbb5-f95e987d4fef,467317712-6
26,3563278124811550,2019-07-21T18:45:47Z,$534.50,b68b8e22-baa6-4e7c-95a5-b8b7fd0c9e53,300435025-4
27,5610100778556349,2019-08-07T03:40:38Z,$2234.71,24736ee9-fbda-4833-b871-dfc3009c8f98,750316930-3
28,337941676756678,2019-08-07T19:44:36Z,$3348.99,2a66e192-e280-446a-9627-09d2eaef25c0,713125933-0
29,3532504117366742,2019-07-29T20:21:43Z,$4693.72,ab546da9-9b95-4562-87ef-45c02b341b37,164188925-X
30,3580882583158145,2019-07-14T22:13:52Z,$2230.97,c63b3ec9-2c66-4f28-adc2-735fad699bf6,605134134-X
31,3581558147805558,2019-07-15T03:18:30Z,$703.10,38a38f29-1cee-43ad-9e04-0303c5752621,280959520-8
32,5521598181165756,2019-07-30T10:16:45Z,$3458.99,c02bb681-7e4d-4297-b053-594e29d3ec1a,746159455-9
33,6759574605162569328,2019-07-10T03:12:08Z,$2902.04,cc0ec079-8f69-4730-8b5e-3d7f0623b7b7,221690896-7
34,4175003076085021,2019-07-25T08:46:19Z,$4147.53,fb74ee69-4d18-44d8-ac14-4294fb9c4d05,273200746-3
35,3553201583849707,2019-08-06T18:19:32Z,$3750.81,3a2542bf-8121-43d2-85d5-6e9f6894e703,356032136-0
36,374622830435284,2019-07-15T15:32:06Z,$878.17,e7c7a6cc-eb9d-497d-a270-81e2c4ce363d,263203024-2
37,4041372363077237,2019-07-15T13:04:44Z,$3502.45,7ffeb6ae-eb8b-4b8e-b356-99a81bcac88b,708731979-5
38,3553101362691652,2019-07-20T17:23:10Z,$3233.76,1e1ca7f0-7b06-4573-97db-22ce31c77e7f,072366101-4
39,3589313696840974,2019-07-28T21:54:16Z,$325.84,3b876048-ba13-43f0-9d13-d059bf519d20,325924525-1
40,4508228874430420,2019-07-15T07:15:19Z,$3642.88,0f4262c1-6911-4ebb-b35e-fb7c7c725302,177067812-3
41,3575476285065703,2019-07-24T18:41:48Z,$1275.64,ee566a23-aa29-4b09-b18d-4d3bdc494415,064809541-X
42,3540116686719340,2019-07-09T01:08:50Z,$1325.61,903f4216-2f45-46c9-a43d-c651ee5ed21f,410515909-7
43,3533325147336029,2019-08-05T14:42:55Z,$3609.51,ea17bd09-5eec-437e-8bc5-8c09611a2cdf,200805773-9
44,3546159532936902,2019-07-18T05:28:44Z,$4384.02,9fab7552-8d51-40ab-98ea-162495be43c2,466340094-9
45,370811259095315,2019-07-25T16:25:05Z,$1879.68,da11cc4a-dd83-4787-b813-2de4acba4560,738796725-3
